,0
0,South Dakota
1,Arkansas
2,West Virginia
3,Georgia
4,Virginia
5,Missouri
6,Iowa
7,Delaware
8,Kentucky
9,Minnesota
10,Oregon
11,Utah
12,Tennessee
13,North Carolina
14,Pennsylvania
15,Washington
16,New Mexico
17,Illinois
18,Arizona
19,Alabama
20,Nevada
21,Rhode Island
22,Maryland
23,Massachusetts
24,Connecticut
25,Idaho
26,Indiana
27,Colorado
28,New Hampshire
29,North Dakota
30,Florida
31,Hawaii
32,Louisiana
33,Michigan
34,New Jersey
35,South Carolina
36,Mississippi
37,Montana
38,Wisconsin
39,Oklahoma
40,Maine
41,Vermont
42,Nebraska
